"","Rho_1","Rho_2","F1_Final","F2_Final","X1_Final","X2_Final"
"1",0,0,0.745756518183073,0.366549050642008,1,8.30361366770098e-26
"2",0,0.01,0.745756518183073,0.366549050642008,1,4.02373791350959e-25
"3",0,0.02,0.745756518183073,0.366549050642008,1,1.96703754407192e-24
"4",0,0.03,0.745756518183073,0.366549050642008,1,9.69811249895251e-24
"5",0,0.04,0.745756518183073,0.366549050642008,1,4.81416702149812e-23
"6",0,0.05,0.745756518183073,0.366549050642008,1,2.48367958562999e-22
"7",0,0.06,0.745756518183073,0.366549050642008,1,1.24929996734159e-21
"8",0,0.07,0.745756518183073,0.366549050642008,1,6.36783514559827e-21
"9",0,0.08,0.745756518183073,0.366549050642008,1,3.27435202322865e-20
"10",0,0.09,0.745756518183073,0.366549050642008,1,1.73768718187447e-19
"11",0,0.1,0.745756518183073,0.366549050642008,1,9.26834445625173e-19
"12",0,0.11,0.745756518183073,0.366549050642008,1,5.06684157081038e-18
"13",0,0.12,0.745756518183073,0.366549050642008,1,2.82499115953379e-17
"14",0,0.13,0.745756518183074,0.366549050642008,1,1.36252269618845e-16
"15",0,0.14,0.745756518183075,0.36654905064201,1,6.96448098087231e-16
"16",0,0.15,0.745756518183081,0.366549050642017,1,3.63870088159429e-15
"17",0,0.16,0.745756518183104,0.366549050642044,1,1.85734423387253e-14
"18",0,0.17,0.745756518183204,0.366549050642172,1,1.00769270524126e-13
"19",0,0.18,0.745756518183677,0.366549050642793,1,5.64482021715218e-13
"20",0,0.19,0.745756518185892,0.366549050645821,1,3.12380094355451e-12
"21",0,0.2,0.745756518196775,0.366549050661239,1,1.76377719446016e-11
"22",0,0.21,0.74575651825191,0.36654905074113,1,9.81524756795355e-11
"23",0,0.22,0.745756518542448,0.36654905118282,1,5.97560005171973e-10
"24",0,0.23,0.745756520125567,0.366549053665206,1,3.58247680110277e-09
"25",0,0.24,0.745756528926477,0.366549067907911,1,2.20167108167683e-08
"26",0,0.25,0.74575658141659,0.366549155437025,1,1.43203044216802e-07
"27",0,0.26,0.745756912629684,0.366549724347712,1,9.79472119519869e-07
"28",0,0.27,0.745759072867738,0.366553543614464,1,6.91888983277861e-06
"29",0,0.28,0.745774345881695,0.366581313555033,1,5.24303972446903e-05
"30",0,0.29,0.74590984921582,0.366834693142199,1,0.000488941552308073
"31",0,0.3,0.755637241678071,0.387191788388361,1,0.0412239335031435
"32",0,0.31,1,1,1,1
"33",0,0.32,1,1,1,1
"34",0,0.33,1,1,1,1
"35",0,0.34,1,1,1,1
"36",0,0.35,1,1,1,1
"37",0,0.36,1,1,1,1
"38",0,0.37,1,1,1,1
"39",0,0.38,1,1,1,1
"40",0,0.39,1,1,1,1
"41",0,0.4,1,1,1,1
"42",0,0.41,1,1,1,1
"43",0,0.42,1,1,1,1
"44",0,0.43,1,1,1,1
"45",0,0.44,1,1,1,1
"46",0,0.45,1,1,1,1
"47",0,0.46,1,1,1,1
"48",0,0.47,1,1,1,1
"49",0,0.48,1,1,1,1
"50",0,0.49,1,1,1,1
"51",0,0.5,1,1,1,1
"52",0.01,0,0.745756518183073,0.366549050642008,1,8.2517391359109e-26
"53",0.01,0.01,0.745756518183073,0.366549050642008,1,3.92300970134754e-25
"54",0.01,0.02,0.745756518183073,0.366549050642008,1,1.93556170025145e-24
"55",0.01,0.03,0.745756518183073,0.366549050642008,1,9.42647915710036e-24
"56",0.01,0.04,0.745756518183073,0.366549050642008,1,4.62440292832335e-23
"57",0.01,0.05,0.745756518183073,0.366549050642008,1,2.29444783730021e-22
"58",0.01,0.06,0.745756518183073,0.366549050642008,1,1.18233326300272e-21
"59",0.01,0.07,0.745756518183073,0.366549050642008,1,5.95416685005941e-21
"60",0.01,0.08,0.745756518183073,0.366549050642008,1,3.02495378732185e-20
"61",0.01,0.09,0.745756518183073,0.366549050642008,1,1.58808534528761e-19
"62",0.01,0.1,0.745756518183073,0.366549050642008,1,8.36756437728725e-19
"63",0.01,0.11,0.745756518183073,0.366549050642008,1,4.45167024868778e-18
"64",0.01,0.12,0.745756518183073,0.366549050642008,1,2.42423852293145e-17
"65",0.01,0.13,0.745756518183074,0.366549050642008,1,1.344492986093e-16
"66",0.01,0.14,0.745756518183075,0.36654905064201,1,6.27204570720391e-16
"67",0.01,0.15,0.74575651818308,0.366549050642016,1,3.23966315135691e-15
"68",0.01,0.16,0.745756518183101,0.366549050642041,1,1.68967918539037e-14
"69",0.01,0.17,0.745756518183191,0.366549050642154,1,9.01816192485784e-14
"70",0.01,0.18,0.74575651818359,0.366549050642681,1,4.83564023094365e-13
"71",0.01,0.19,0.745756518185472,0.366549050645253,1,2.65922646155431e-12
"72",0.01,0.2,0.745756518194738,0.36654905065835,1,1.4920500561563e-11
"73",0.01,0.21,0.745756518238656,0.366549050722838,1,8.18154767181955e-11
"74",0.01,0.22,0.745756518479921,0.366549051087697,1,4.90078964707847e-10
"75",0.01,0.23,0.745756519754027,0.36654905308718,1,2.89858676475433e-09
"76",0.01,0.24,0.745756526692879,0.36654906431359,1,1.74688912776095e-08
"77",0.01,0.25,0.745756566956718,0.366549131473095,1,1.10456150491282e-07
"78",0.01,0.26,0.745756814742921,0.366549557158773,1,7.36401958798044e-07
"79",0.01,0.27,0.745758370999934,0.366552309200592,1,5.01791780546836e-06
"80",0.01,0.28,0.745768685728521,0.366571069028248,1,3.57792559347064e-05
"81",0.01,0.29,0.745846738163074,0.36671701710614,1,0.000287284017817248
"82",0.01,0.3,0.746880929560611,0.368720665275453,1,0.003941057390704
"83",0.01,0.31,0.999999999997259,0.999999999996895,1,1
"84",0.01,0.32,1,1,1,1
"85",0.01,0.33,1,1,1,1
"86",0.01,0.34,1,1,1,1
"87",0.01,0.35,1,1,1,1
"88",0.01,0.36,1,1,1,1
"89",0.01,0.37,1,1,1,1
"90",0.01,0.38,1,1,1,1
"91",0.01,0.39,1,1,1,1
"92",0.01,0.4,1,1,1,1
"93",0.01,0.41,1,1,1,1
"94",0.01,0.42,1,1,1,1
"95",0.01,0.43,1,1,1,1
"96",0.01,0.44,1,1,1,1
"97",0.01,0.45,1,1,1,1
"98",0.01,0.46,1,1,1,1
"99",0.01,0.47,1,1,1,1
"100",0.01,0.48,1,1,1,1
"101",0.01,0.49,1,1,1,1
"102",0.01,0.5,1,1,1,1
"103",0.02,0,0.745756518183073,0.366549050642008,1,8.31271511281599e-26
"104",0.02,0.01,0.745756518183073,0.366549050642008,1,3.97643139638948e-25
"105",0.02,0.02,0.745756518183073,0.366549050642008,1,1.87288894454765e-24
"106",0.02,0.03,0.745756518183073,0.366549050642008,1,9.03556810008831e-24
"107",0.02,0.04,0.745756518183073,0.366549050642008,1,4.40239584166868e-23
"108",0.02,0.05,0.745756518183073,0.366549050642008,1,2.21995517344305e-22
"109",0.02,0.06,0.745756518183073,0.366549050642008,1,1.10243036840201e-21
"110",0.02,0.07,0.745756518183073,0.366549050642008,1,5.52106395305558e-21
"111",0.02,0.08,0.745756518183073,0.366549050642008,1,2.788434797931e-20
"112",0.02,0.09,0.745756518183073,0.366549050642008,1,1.42028118822398e-19
"113",0.02,0.1,0.745756518183073,0.366549050642008,1,7.45336127213741e-19
"114",0.02,0.11,0.745756518183073,0.366549050642008,1,3.93045244771405e-18
"115",0.02,0.12,0.745756518183073,0.366549050642008,1,2.08341549039984e-17
"116",0.02,0.13,0.745756518183074,0.366549050642008,1,1.12836290970857e-16
"117",0.02,0.14,0.745756518183075,0.366549050642009,1,5.61033873528005e-16
"118",0.02,0.15,0.745756518183079,0.366549050642015,1,2.85666648148754e-15
"119",0.02,0.16,0.745756518183097,0.366549050642037,1,1.47006578492945e-14
"120",0.02,0.17,0.745756518183174,0.366549050642134,1,7.73083417236284e-14
"121",0.02,0.18,0.745756518183514,0.366549050642581,1,4.1196210455487e-13
"122",0.02,0.19,0.745756518185085,0.366549050644729,1,2.23033899581036e-12
"123",0.02,0.2,0.745756518192569,0.366549050655336,1,1.22235722481034e-11
"124",0.02,0.21,0.745756518229796,0.366549050709956,1,6.8782484768249e-11
"125",0.02,0.22,0.745756518419283,0.366549050996773,1,3.90436927085651e-10
"126",0.02,0.23,0.745756519407559,0.366549052546063,1,2.27513783338683e-09
"127",0.02,0.24,0.745756524757125,0.366549061205271,1,1.34675078507125e-08
"128",0.02,0.25,0.745756554605183,0.366549111003259,1,8.24839792997543e-08
"129",0.02,0.26,0.745756734262862,0.366549419700491,1,5.36556786661221e-07
"130",0.02,0.27,0.745757825471949,0.366551349763651,1,3.54043272078802e-06
"131",0.02,0.28,0.745764694383049,0.366563845671161,1,2.40401866999549e-05
"132",0.02,0.29,0.745811502694177,0.366651381747888,1,0.000174945812263461
"133",0.02,0.3,0.746224233468981,0.367446756623896,1,0.00161676125019132
"134",0.02,0.31,0.999170481268084,0.999057512449741,1,0.999999790772757
"135",0.02,0.32,0.999999999999987,0.999999999999985,1,1
"136",0.02,0.33,1,1,1,1
"137",0.02,0.34,1,1,1,1
"138",0.02,0.35,1,1,1,1
"139",0.02,0.36,1,1,1,1
"140",0.02,0.37,1,1,1,1
"141",0.02,0.38,1,1,1,1
"142",0.02,0.39,1,1,1,1
"143",0.02,0.4,1,1,1,1
"144",0.02,0.41,1,1,1,1
"145",0.02,0.42,1,1,1,1
"146",0.02,0.43,1,1,1,1
"147",0.02,0.44,1,1,1,1
"148",0.02,0.45,1,1,1,1
"149",0.02,0.46,1,1,1,1
"150",0.02,0.47,1,1,1,1
"151",0.02,0.48,1,1,1,1
"152",0.02,0.49,1,1,1,1
"153",0.02,0.5,1,1,1,1
"154",0.03,0,0.745756518183073,0.366549050642008,1,8.16407228238961e-26
"155",0.03,0.01,0.745756518183073,0.366549050642008,1,3.82550695269738e-25
"156",0.03,0.02,0.745756518183073,0.366549050642008,1,1.85858856872398e-24
"157",0.03,0.03,0.745756518183073,0.366549050642008,1,8.6503140734253e-24
"158",0.03,0.04,0.745756518183073,0.366549050642008,1,4.27242928657743e-23
"159",0.03,0.05,0.745756518183073,0.366549050642008,1,2.09939498216907e-22
"160",0.03,0.06,0.745756518183073,0.366549050642008,1,1.02948364931296e-21
"161",0.03,0.07,0.745756518183073,0.366549050642008,1,5.09521772674101e-21
"162",0.03,0.08,0.745756518183073,0.366549050642008,1,2.54292562004729e-20
"163",0.03,0.09,0.745756518183073,0.366549050642008,1,1.27975313984231e-19
"164",0.03,0.1,0.745756518183073,0.366549050642008,1,6.49446390042897e-19
"165",0.03,0.11,0.745756518183073,0.366549050642008,1,3.38893071233835e-18
"166",0.03,0.12,0.745756518183073,0.366549050642008,1,1.77703567406887e-17
"167",0.03,0.13,0.745756518183073,0.366549050642008,1,9.37586987324588e-17
"168",0.03,0.14,0.745756518183075,0.366549050642009,1,5.00862125702923e-16
"169",0.03,0.15,0.745756518183079,0.366549050642014,1,2.70503636289744e-15
"170",0.03,0.16,0.745756518183094,0.366549050642033,1,1.24952009127578e-14
"171",0.03,0.17,0.745756518183156,0.366549050642112,1,6.40542051118074e-14
"172",0.03,0.18,0.745756518183432,0.366549050642475,1,3.35536077980064e-13
"173",0.03,0.19,0.745756518184695,0.366549050644202,1,1.79830501482698e-12
