record_id,month,day,year,site_id,species_id,sex,hindfoot_length,weight
31711,1,21,2001,1,PB,F,26,25
31712,1,21,2001,1,DM,M,37,43
31713,1,21,2001,1,PB,M,29,44
31714,1,21,2001,1,DO,M,34,53
31715,1,21,2001,2,OT,M,20,27
31716,1,21,2001,2,RM,M,17,11
31717,1,21,2001,2,NL,M,33,121
31718,1,21,2001,2,DM,F,34,44
31719,1,21,2001,2,PB,M,26,42
31720,1,21,2001,2,PB,M,27,41
31721,1,21,2001,2,NL,F,31,158
31722,1,21,2001,12,DO,M,34,54
31723,1,21,2001,12,DM,F,37,49
31724,1,21,2001,12,OT,F,20,21
31725,1,21,2001,12,DM,M,36,43
31726,1,21,2001,19,PB,M,26,27
31727,1,21,2001,19,PB,M,26,42
31728,1,21,2001,19,PP,M,20,11
31729,1,21,2001,18,PB,F,26,29
31730,1,21,2001,17,OT,M,21,23
31731,1,21,2001,17,DM,M,37,49
31732,1,21,2001,17,DM,M,36,48
31733,1,21,2001,17,DM,F,37,43
31734,1,21,2001,17,DM,F,37,41
31735,1,21,2001,17,OT,F,20,26
31736,1,21,2001,17,DM,F,34,41
31737,1,21,2001,17,OT,M,20,20
31738,1,21,2001,22,PB,M,28,36
31739,1,21,2001,22,PB,M,27,40
31740,1,21,2001,22,PB,F,26,32
31741,1,21,2001,22,PB,F,26,25
31742,1,21,2001,21,PB,F,25,27
31743,1,21,2001,21,PB,F,27,30
31744,1,21,2001,21,PB,F,25,27
31745,1,21,2001,21,PB,F,27,29
31746,1,21,2001,20,PB,F,27,29
31747,1,21,2001,7,OT,M,20,26
31748,1,21,2001,7,DO,M,34,47
31751,1,22,2001,3,PB,M,25,40
31752,1,22,2001,3,PB,F,25,30
31753,1,22,2001,3,PB,M,26,40
31754,1,22,2001,3,OT,M,21,25
31755,1,22,2001,3,OT,F,21,25
31756,1,22,2001,3,PB,M,26,29
31757,1,22,2001,4,PB,M,27,36
31759,1,22,2001,4,OT,M,20,22
31760,1,22,2001,4,DM,M,36,48
31761,1,22,2001,6,OT,M,21,24
31762,1,22,2001,6,OT,F,20,26
31763,1,22,2001,6,PM,F,20,27
31764,1,22,2001,6,PB,F,26,29
31765,1,22,2001,6,PB,F,25,30
31766,1,22,2001,6,PB,M,27,35
31768,1,22,2001,11,DM,M,36,45
31769,1,22,2001,11,DM,M,37,54
31770,1,22,2001,11,DM,M,37,46
31771,1,22,2001,11,DM,F,34,41
31772,1,22,2001,9,DM,M,35,42
31773,1,22,2001,9,DM,F,37,44
31774,1,22,2001,9,DM,M,36,48
31775,1,22,2001,9,DM,M,36,49
31777,1,22,2001,13,PB,F,26,31
31778,1,22,2001,13,PB,F,25,36
31779,1,22,2001,13,PP,M,21,12
31780,1,22,2001,14,DM,F,36,36
31781,1,22,2001,14,DM,F,36,41
31782,1,22,2001,14,DM,M,37,47
31783,1,22,2001,14,DM,F,36,42
31784,1,22,2001,14,DM,F,36,40
31785,1,22,2001,14,DM,M,36,50
31786,1,22,2001,15,OT,M,21,22
31790,3,3,2001,1,PB,M,27,36
31791,3,3,2001,1,PB,F,24,25
31792,3,3,2001,2,DM,F,35,45
31793,3,3,2001,2,PB,M,26,41
31794,3,3,2001,12,OT,M,21,24
31795,3,3,2001,19,PB,M,28,40
31796,3,3,2001,19,RM,F,17,16
31797,3,3,2001,19,PB,M,27,27
31798,3,3,2001,18,RM,F,17,17
31799,3,3,2001,18,PB,M,26,40
31800,3,3,2001,18,PB,F,27,33
31802,3,3,2001,17,DM,F,38,58
31803,3,3,2001,17,RM,M,16,8
