Reporting country (Name),Partner country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[2019],S
Madagascar,"China, Hong Kong SAR","Seaweeds and other algae, unfit for human consumption, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,0.09,
Madagascar,"China, Hong Kong SAR","Shark fins, smoked, dried, whether or not salted, etc.",Exports,Tonnes – net product weight,Tonnes – net product weight,15.47,
Madagascar,"China, Hong Kong SAR","Shrimps and prawns, live, fresh or chilled, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,0.07,
Madagascar,Comoros,"Cods nei, dried,  whether or not salted",Exports,Tonnes – net product weight,Tonnes – net product weight,73.4,
Madagascar,Comoros,"Fish dried, whether or not salted, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,80.06,
Madagascar,Comoros,"Gadiformes, fillets, dried, salted or in brine, not smoked",Exports,Tonnes – net product weight,Tonnes – net product weight,7.5,
Madagascar,Comoros,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes – net product weight,Tonnes – net product weight,0.4,
Madagascar,Côte d'Ivoire,"Yellowfin tuna, frozen, nei",Reexports,Tonnes – net product weight,Tonnes – net product weight,132.45,
Madagascar,Denmark,"Seaweeds and other algae, fit for human consumption, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,126.91,
Madagascar,Denmark,"Tunas prepared or preserved, not minced, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,17.09,
Madagascar,France,Agar agar nei,Imports,Tonnes – net product weight,Tonnes – net product weight,0.05,
Madagascar,France,"Alaska pollock fillets, frozen",Imports,Tonnes – net product weight,Tonnes – net product weight,0.38,
Madagascar,France,"Albacore (=Longfin tuna), fresh or chilled",Exports,Tonnes – net product weight,Tonnes – net product weight,4.17,
Madagascar,France,"Anchovies (Engraulis spp), fresh or chilled",Imports,Tonnes – net product weight,Tonnes – net product weight,0.01,
Madagascar,France,"Anchovies, prepared or preserved, not minced",Imports,Tonnes – net product weight,Tonnes – net product weight,0.84,
Madagascar,France,"Anchovies, salted or in brine",Imports,Tonnes – net product weight,Tonnes – net product weight,0.02,
Madagascar,France,"Atlantic and Danube salmons, fresh or chilled",Imports,Tonnes – net product weight,Tonnes – net product weight,1.35,
Madagascar,France,"Bigeye tuna, fresh or chilled",Exports,Tonnes – net product weight,Tonnes – net product weight,1.22,
Madagascar,France,Caviar,Exports,Tonnes – net product weight,Tonnes – net product weight,5.2,
Madagascar,France,Caviar,Imports,Tonnes – net product weight,Tonnes – net product weight,0.18,
Madagascar,France,Caviar substitutes,Imports,Tonnes – net product weight,Tonnes – net product weight,0.61,
Madagascar,France,"Clams, cockles, arkshells nei, dried, salted or in brine, smoked",Exports,Tonnes – net product weight,Tonnes – net product weight,0,
Madagascar,France,"Clams, cockles, arkshells, etc., prep. or pres., nei",Imports,Tonnes – net product weight,Tonnes – net product weight,0.02,
Madagascar,France,"Clams, cockles, arkshells, frozen",Imports,Tonnes – net product weight,Tonnes – net product weight,5,
Madagascar,France,"Cod nei, fillets, frozen",Imports,Tonnes – net product weight,Tonnes – net product weight,0.46,
Madagascar,France,Coral and the like,Exports,Tonnes – net product weight,Tonnes – net product weight,0.01,
Madagascar,France,"Crab meat nei, prepared or preserved",Imports,Tonnes – net product weight,Tonnes – net product weight,3.62,
Madagascar,France,"Crabs nei, frozen",Exports,Tonnes – net product weight,Tonnes – net product weight,645.35,
Madagascar,France,"Crustaceans nei, even smoked, frozen",Exports,Tonnes – net product weight,Tonnes – net product weight,24.89,
Madagascar,France,"Crustaceans nei, prepared or preserved",Exports,Tonnes – net product weight,Tonnes – net product weight,3.99,
Madagascar,France,"Crustaceans nei, prepared or preserved",Imports,Tonnes – net product weight,Tonnes – net product weight,0.05,
Madagascar,France,"Cuttlefish and squid, other than live, fresh or chilled",Exports,Tonnes – net product weight,Tonnes – net product weight,1.85,
Madagascar,France,"Cuttlefish and squid, other than live, fresh or chilled",Imports,Tonnes – net product weight,Tonnes – net product weight,0.08,
