,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
32707,32708,9,23,2001,3,PI,M,23.0,17.0
32903,32904,10,14,2001,3,PI,M,23.0,19.0
33768,33769,4,16,2002,12,PI,M,22.0,18.0
34294,34295,6,16,2002,3,PI,M,22.0,21.0
34440,34441,7,13,2002,12,PI,M,22.0,20.0
34548,34549,7,14,2002,4,PI,M,23.0,20.0
34673,34674,9,8,2002,12,PI,M,22.0,21.0
